feature_1,feature_2,label
-2.777396,1.094918,0
-2.405290,1.425859,0
-1.659961,2.387649,0
2.178246,1.932423,1
-3.002950,0.578983,0
2.345593,2.355197,1
-3.546337,1.389134,0
0.718416,0.927472,1
2.331266,2.207696,1
1.673446,2.184057,1
1.100788,1.283477,1
2.212563,1.773204,1
0.862115,1.651312,1
-1.439219,1.232805,0
1.392315,1.088567,1
2.131402,1.942136,1
-1.633064,1.831951,0
1.823246,2.593192,1
-1.339199,2.334278,0
-0.203722,2.426376,0
-1.234705,1.879169,0
-3.822088,1.215407,0
1.987070,1.996271,1
-2.233964,2.303795,0
1.166506,1.546830,1
-1.424378,2.756493,0
-0.545950,1.847938,0
1.503325,0.904067,1
-0.525766,2.404117,0
-3.749205,1.589687,0
-2.795092,1.254056,0
1.667994,1.959927,1
-1.176042,1.930545,0
2.635877,1.815690,1
-2.053291,2.520530,0
-0.820933,2.124365,0
-0.400653,3.207277,0
-2.757503,1.182755,0
1.164588,0.850660,1
3.454625,3.562826,1
2.557305,2.395477,1
2.517118,2.114378,1
1.906380,1.881681,1
-2.075496,1.280427,0
2.285869,2.222569,1
3.259933,2.702535,1
1.545202,1.323203,1
2.453635,2.001589,1
-0.449070,2.843679,0
-1.856411,2.567326,0
-2.682347,2.692184,0
1.772740,1.683003,1
1.789186,1.669098,1
-0.474698,2.925131,0
-1.307985,1.713684,0
2.215594,2.457716,1
1.865974,1.505615,1
-3.673263,0.759492,0
2.695462,2.578540,1
-0.552664,3.283320,0
1.669489,2.335966,1
-2.203453,1.579239,0
0.758206,1.126917,1
2.564878,1.997950,1
-1.388885,1.818949,0
2.751507,2.972632,1
-2.656388,2.262403,0
1.772286,2.048003,1
-1.674135,2.052928,0
-2.102464,1.660241,0
-1.970349,2.229767,0
0.935178,1.284701,1
2.428060,2.289838,1
1.914994,1.721345,1
-1.280785,2.356339,0
-1.060358,3.119557,0
-2.662747,0.469490,0
1.080636,1.533416,1
-1.597673,2.331277,0
-2.728471,1.653795,0
-0.084363,2.910640,0
-2.143836,1.578614,0
2.120789,2.449347,1
-1.102331,1.035563,0
1.557389,1.831016,1
-0.013082,2.743269,0
-3.923393,1.511366,0
-2.085343,1.577775,0
-3.721353,0.730236,0
1.662246,1.152092,1
-1.790421,1.965875,0
-2.874839,1.765886,0
-0.077521,3.032023,0
2.070850,1.978298,1
1.999204,1.848430,1
2.265358,1.825349,1
-1.866384,1.461971,0
2.717124,3.287870,1
-1.459787,1.761211,0
-2.200987,1.774429,0
-1.730901,2.740856,0
2.110350,1.684412,1
1.606963,2.135275,1
-3.438660,1.706194,0
-1.953243,1.769959,0
-1.033510,3.195012,0
1.327407,1.206138,1
2.097295,2.184124,1
-2.957236,1.253616,0
-0.991415,2.767883,0
-3.333380,1.815196,0
-2.486654,1.371348,0
2.515291,2.565381,1
1.134011,1.110098,1
-2.591116,2.155621,0
-1.313213,2.927877,0
-2.495117,2.022224,0
-1.841746,2.286578,0
-3.731536,0.663883,0
-1.981164,2.192621,0
2.724640,2.512994,1
0.507919,0.639178,1
-2.050498,1.611316,0
-1.604537,2.695972,0
1.372343,1.102439,1
1.485924,1.855529,1
2.676065,3.001686,1
-2.377492,2.406728,0
2.346773,1.969060,1
2.747015,2.402533,1
1.788101,1.683143,1
2.874199,1.995508,1
2.167672,2.305246,1
-0.892220,2.291543,0
1.948586,2.407971,1
-3.590774,0.753414,0
-2.211941,2.376845,0
2.414075,2.973352,1
-2.799287,2.054782,0
1.918883,1.739849,1
1.991180,2.166959,1
1.704262,2.277724,1
2.144552,2.667111,1
-3.106029,1.401078,0
-0.543646,3.182830,0
-3.086370,1.215710,0
1.667085,1.471742,1
2.190599,2.427688,1
1.636845,1.410716,1
1.490250,1.692485,1
2.587891,2.924428,1
2.384942,2.242801,1
-0.280885,2.723640,0
-1.615431,1.189566,0
-2.077486,2.321502,0
1.676330,2.061305,1
2.070426,2.656265,1
1.646590,2.176694,1
2.107854,1.978437,1
-0.935692,2.620884,0
